Pid,Date,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend %,Employees,Optionable,Shortable,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Earnings,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,Payout,Shs Outstand,Shs Float,Short Float / Ratio,Short Interest,Target Price,52W Range,52W High,52W Low,RSI (14),Rel Volume,Avg Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Perf YTD,Beta,ATR,Volatility,Prev Close,Price
A,20230817,S&P 500,35.92B,1.35B,7.04B,19.53,3.95,0.90,0.74%,18400,Yes,Yes,26.61,20.20,2.44,5.10,6.19,30.57,30.36,1.70,2.40,0.47,0.47,4.54,8.68%,1.60,6.10%,10.93%,14.80%,8.90%,6.80%,11.70%,Aug 15 AMC,0.30%,-0.11%,90.70%,-3.25%,12.60%,24.80%,16.90%,54.60%,24.00%,19.20%,18.80%,296.00M,294.49M,1.54% / 2.03,4.54M,140.83,113.28 - 160.26,-24.59%,6.68%,40.78,0.97,2.24M,-5.33%,-1.81%,-5.42%,-20.36%,-8.98%,-19.24%,1.02,3.02,1.86% 2.59%,121.36,120.85
AA,20230817,-,5.34B,-1474.00M,10.87B,27.20,5.39,0.40,1.37%,13100,Yes,Yes,-,9.16,-,0.49,1.07,5.40,-,0.90,1.80,0.37,0.37,-8.26,461.40%,-0.49,-130.10%,12.30%,-19.70%,1.30%,-26.30%,-119.40%,Jul 19 AMC,0.20%,0.00%,82.60%,-5.51%,-10.10%,-29.50%,0.40%,6.30%,-9.00%,-13.60%,-,178.00M,177.30M,5.47% / 1.86,9.69M,38.35,29.09 - 58.24,-50.01%,0.05%,30.81,1.24,5.22M,-11.47%,-16.45%,-20.77%,-39.87%,-45.20%,-35.98%,2.47,1.35,3.79% 3.72%,29.31,29.11
AACG,20230817,-,38.86M,-6.90M,28.70M,0.48,0.26,-,-,536,No,Yes,-,-,-,1.35,2.64,4.92,-,0.20,0.20,0.00,0.00,-0.22,-15.10%,-,-33.30%,25.00%,-29.00%,-15.80%,6.50%,22.90%,Aug 10 AMC,18.70%,0.00%,16.80%,-0.79%,-9.50%,-34.70%,-35.50%,49.30%,-,-21.70%,-,31.88M,31.59M,0.01% / 0.16,0.00M,11.00,1.12 - 2.64,-51.93%,13.32%,44.10,0.60,11.45K,1.52%,-11.87%,-14.83%,-31.41%,-40.14%,-0.34%,1.16,0.08,6.26% 6.08%,1.21,1.27
AAN,20230817,RUT,389.37M,-2.20M,2.27B,22.93,1.22,0.50,4.03%,10060,Yes,Yes,-,8.64,-,0.17,0.54,10.14,2.87,-,-,0.26,0.26,-0.08,15.69%,0.07,-105.20%,-,-15.30%,4.80%,-13.10%,220.10%,Jul 31 AMC,3.47%,-2.25%,94.40%,-7.22%,-0.10%,-0.30%,0.70%,51.20%,0.00%,-0.10%,-,30.99M,29.84M,3.48% / 3.65,1.04M,14.55,7.64 - 16.16,-23.14%,62.46%,33.81,0.55,284.31K,-5.98%,-21.24%,-2.28%,-17.58%,-17.20%,3.93%,1.20,0.62,2.87% 4.17%,12.61,12.42
AAOI,20230817,-,484.10M,-69.10M,212.90M,5.54,0.58,-,-,2213,Yes,Yes,-,32.08,-,2.27,2.33,22.41,-,0.40,0.80,0.77,0.00,-2.41,176.90%,-0.05,-18.50%,13.00%,-21.90%,-10.20%,-20.50%,-9.80%,Aug 03 AMC,8.30%,-4.98%,33.70%,-2.55%,-17.70%,-38.40%,-17.70%,15.60%,-29.10%,-32.50%,-,32.13M,30.58M,18.74% / 1.57,5.73M,12.00,1.60 - 15.90,-18.68%,708.13%,60.59,0.80,3.66M,-10.46%,49.13%,643.10%,356.89%,352.10%,584.13%,1.58,1.68,15.47% 16.51%,13.03,12.93
AAPL,20230817,"DJIA, NDX, S&P 500",2723.11B,94.76B,383.93B,3.84,3.99,0.96,0.55%,164000,Yes,Yes,29.24,26.40,4.59,7.09,45.31,43.58,26.96,0.90,1.00,1.81,1.63,5.95,8.67%,1.39,8.90%,6.37%,21.60%,11.50%,-1.40%,5.40%,Aug 03 AMC,0.07%,-4.47%,60.10%,-0.47%,27.70%,164.90%,58.30%,43.40%,29.20%,24.70%,15.60%,15.70B,15.62B,0.68% / 1.84,105.46M,201.18,124.17 - 198.23,-12.22%,40.13%,27.24,1.07,57.30M,-2.23%,-10.81%,0.76%,12.02%,0.56%,33.92%,1.29,3.17,1.47% 1.63%,176.57,174.00
AAT,20230817,RUT,1.26B,50.50M,434.50M,20.20,1.40,1.32,6.33%,220,Yes,Yes,24.79,27.80,8.26,2.90,1.03,14.89,13.14,-,-,1.39,1.39,0.84,0.00%,0.16,53.20%,3.00%,3.10%,6.10%,5.30%,13.00%,Jul 25 AMC,1.10%,141.25%,95.00%,-1.81%,1.70%,4.10%,4.00%,63.50%,27.50%,11.60%,154.70%,60.15M,59.93M,2.56% / 3.91,1.53M,22.33,16.04 - 30.29,-31.17%,29.98%,39.60,0.49,391.99K,-6.04%,-6.21%,11.32%,-21.44%,-31.80%,-21.32%,1.13,0.51,1.61% 2.14%,20.97,20.85
ABBV,20230817,S&P 500,263.50B,8.63B,56.02B,7.28,4.99,5.92,3.95%,50000,Yes,Yes,30.86,13.55,-,4.70,20.61,30.06,10.63,0.80,0.90,4.74,4.34,4.86,-0.02%,2.87,2.70%,-4.13%,13.30%,15.50%,-4.90%,121.10%,Jul 27 BMO,0.13%,-13.99%,70.90%,0.10%,6.30%,58.20%,20.50%,70.50%,31.00%,15.40%,118.50%,1.77B,1.76B,0.65% / 1.97,11.44M,167.88,130.96 - 168.11,-10.76%,14.55%,60.09,0.91,5.81M,-0.94%,8.96%,4.65%,-0.69%,5.24%,-7.17%,0.54,2.54,1.28% 1.77%,151.55,150.02
ABCB,20230817,RUT,2.83B,297.80M,1.13B,47.61,20.80,0.60,1.46%,2847,Yes,Yes,9.59,9.07,1.20,2.52,0.87,1.98,5.06,-,-,0.13,0.13,4.30,12.47%,1.14,-7.60%,8.00%,16.30%,24.90%,58.90%,-30.20%,Jul 27 AMC,3.20%,1.86%,91.70%,0.45%,1.20%,9.30%,17.30%,-,64.20%,26.50%,13.90%,68.99M,65.56M,2.89% / 4.44,1.89M,49.00,28.33 - 54.24,-23.99%,45.53%,49.62,0.62,426.56K,-5.39%,2.05%,29.25%,-16.50%,-18.26%,-12.54%,1.15,1.29,2.24% 2.95%,41.18,41.23
ABCL,20230817,-,1.62B,-73.90M,145.20M,4.14,0.61,-,-,495,Yes,Yes,-,-,-,11.19,1.33,9.04,-,7.80,7.80,0.00,0.00,-0.27,-15.10%,-0.13,4.40%,10.00%,-,-,-78.00%,-343.40%,Aug 03 AMC,19.70%,0.29%,46.90%,11.04%,-4.80%,-6.00%,11.00%,-,-80.10%,-50.90%,0.00%,288.91M,206.90M,12.77% / 8.35,26.41M,25.38,5.46 - 14.97,-63.26%,0.73%,28.61,0.79,3.16M,-6.46%,-30.82%,-5.82%,-44.89%,-56.86%,-45.71%,0.08,0.34,2.81% 5.03%,5.50,5.50
ABCM,20230817,-,3.22B,-10.80M,458.50M,4.03,0.76,-,-,1800,Yes,Yes,-,-,-,7.02,5.36,28.54,-,0.90,1.30,0.31,0.13,-0.05,-,-,-148.90%,0.36%,-,-,19.70%,-207.00%,-,6.44%,0.00%,14.40%,22.07%,-0.90%,-1.20%,-0.30%,74.80%,-2.80%,-2.40%,-,228.80M,214.54M,0.40% / 0.44,0.86M,26.80,12.48 - 25.32,-14.69%,73.08%,38.17,0.71,1.94M,-3.91%,-8.09%,25.51%,44.87%,40.90%,38.82%,0.95,0.74,4.09% 3.00%,21.54,21.60
ABEV,20230817,-,45.16B,2.92B,16.91B,1.10,0.16,0.14,5.09%,52000,Yes,Yes,15.38,14.89,2.20,2.67,2.57,17.77,-,0.70,1.00,0.05,0.03,0.18,11.80%,0.04,14.20%,7.00%,14.70%,10.70%,5.10%,-15.70%,Aug 03 BMO,-,-,18.10%,2.15%,10.40%,16.70%,23.20%,49.90%,23.00%,17.30%,411.20%,15.75B,4.41B,0.21% / 0.67,9.30M,3.64,2.40 - 3.24,-12.65%,17.92%,31.83,1.22,13.78M,-3.08%,-6.29%,-2.75%,12.30%,-4.71%,4.04%,1.13,0.07,1.77% 2.19%,2.84,2.83
ABG,20230817,RUT,4.40B,936.00M,14.90B,146.82,4.36,-,-,13000,Yes,Yes,5.12,6.99,-,0.30,1.49,50.17,14.13,0.80,1.90,1.07,1.04,42.71,-6.46%,8.45,68.10%,-1.10%,44.80%,19.00%,-5.30%,3.10%,Jul 25 BMO,0.10%,-52.71%,109.95%,1.44%,11.60%,32.10%,18.20%,19.60%,9.40%,6.30%,0.00%,20.90M,20.48M,10.50% / 10.93,2.15M,260.00,138.88 - 256.39,-14.74%,57.41%,41.51,0.63,196.68K,-1.28%,-12.55%,6.29%,-6.62%,10.09%,21.96%,1.13,7.02,3.02% 3.29%,219.32,218.61
ABNB,20230817,NDX,83.07B,2.30B,9.09B,7.97,15.93,-,-,6811,Yes,Yes,37.41,30.64,1.70,9.14,16.06,8.03,21.32,1.50,1.50,0.39,0.39,3.42,9.83%,2.07,588.10%,22.00%,91.50%,26.80%,18.10%,76.80%,Aug 03 AMC,3.20%,-28.23%,64.30%,-1.16%,12.50%,42.90%,22.60%,69.70%,21.50%,25.30%,0.00%,635.00M,389.39M,6.14% / 4.24,23.91M,141.85,81.91 - 154.95,-17.40%,56.26%,33.24,0.69,5.64M,-5.87%,-12.06%,18.15%,-6.58%,3.07%,49.70%,1.32,4.15,1.80% 2.58%,128.83,127.99
ABOS,20230817,-,365.18M,-45.00M,-,4.37,2.46,-,-,39,Yes,Yes,-,-,-,-,1.46,2.60,-,16.40,16.40,0.00,0.00,-1.10,-19.60%,-0.27,79.00%,9.70%,-,-,-,-22.20%,Aug 08 BMO,7.83%,115.54%,77.20%,4.43%,-21.40%,-22.20%,-,-,-,-,-,41.02M,36.30M,4.26% / 1.45,1.55M,15.57,3.52 - 11.31,-43.41%,81.82%,43.92,0.81,1.06M,-9.09%,-13.63%,17.43%,13.88%,13.27%,18.52%,-1.15,0.58,6.61% 6.89%,6.79,6.40
ABR,20230817,RUT,2.80B,311.30M,1.50B,13.15,4.54,1.72,11.44%,630,Yes,Yes,10.22,8.07,1.28,1.87,1.14,3.31,6.42,-,-,5.27,5.27,1.47,-11.03%,0.46,-29.70%,8.00%,6.50%,27.70%,59.30%,-1.70%,Jul 28 BMO,0.80%,2.61%,44.20%,0.03%,1.80%,13.40%,2.10%,45.70%,25.20%,20.70%,91.60%,186.50M,182.53M,23.71% / 10.06,43.27M,16.83,10.10 - 17.74,-15.28%,48.81%,38.06,0.80,4.30M,-9.40%,-10.75%,16.78%,0.20%,-4.99%,13.95%,1.93,0.49,2.61% 2.84%,15.47,15.03
ABSI,20230817,-,156.32M,-98.80M,6.20M,2.78,1.53,-,-,193,Yes,Yes,-,-,-,25.21,0.60,1.08,-,6.10,6.10,0.05,0.03,-1.08,13.80%,-0.24,44.40%,9.60%,-,-,62.50%,21.90%,May 15 AMC,0.70%,0.00%,48.10%,3.82%,-29.90%,-34.70%,-36.90%,-,-,-,-,91.48M,69.14M,3.45% / 3.13,2.38M,5.60,1.13 - 4.68,-64.53%,46.90%,42.43,0.37,762.56K,-2.92%,-30.83%,37.76%,-40.07%,-63.76%,-20.95%,1.29,0.17,8.52% 9.43%,1.60,1.66
AC,20230817,-,780.48M,-15.00M,15.10M,41.24,18.30,0.20,0.56%,24,No,Yes,-,-,-,51.69,0.87,1.97,-,-,-,0.00,0.00,-0.68,-,-,-183.00%,-,-56.70%,-10.80%,-3.80%,210.10%,Aug 09 AMC,1.80%,0.44%,72.40%,-0.10%,-4.90%,-5.50%,0.40%,-,-74.70%,-,-,21.97M,2.87M,0.41% / 0.82,0.01M,-,31.01 - 43.16,-16.59%,16.09%,42.62,1.35,14.52K,-1.67%,-1.80%,-3.54%,-3.74%,-11.29%,-14.27%,1.06,0.96,3.56% 2.57%,36.12,36.00
ACA,20230817,RUT,3.63B,282.20M,2.24B,46.95,4.11,0.20,0.27%,5230,Yes,Yes,12.99,22.68,3.17,1.62,1.61,18.34,100.84,1.50,2.30,0.24,0.23,5.81,12.89%,0.67,254.50%,4.10%,24.10%,8.90%,-3.00%,4.70%,Aug 03 AMC,0.90%,-14.60%,91.90%,-1.06%,8.30%,12.90%,10.20%,19.30%,17.10%,12.60%,3.40%,48.50M,48.00M,0.53% / 0.93,0.25M,84.60,52.04 - 78.75,-4.17%,45.00%,46.61,0.75,272.84K,-2.51%,-0.32%,8.02%,26.65%,16.61%,38.87%,0.58,1.78,2.42% 2.08%,76.77,75.46
ACAD,20230817,RUT,4.61B,-110.80M,550.90M,2.42,2.35,-,-,540,Yes,Yes,-,49.32,-,8.36,11.94,12.28,-,2.60,2.60,0.00,0.00,-0.68,231.10%,-0.43,-27.70%,-,5.80%,32.90%,22.70%,103.20%,Aug 02 AMC,0.10%,408.40%,94.90%,0.94%,-17.80%,-27.80%,-56.50%,97.50%,-23.10%,-20.10%,-,163.46M,163.00M,5.44% / 5.32,8.86M,31.13,13.73 - 33.99,-14.97%,110.49%,57.50,1.04,1.67M,8.44%,-9.43%,27.43%,52.35%,70.40%,81.53%,0.55,1.00,3.91% 3.14%,29.25,28.90
ACBA,20230817,-,42.79M,1.10M,-,5.23,0.03,-,-,-,No,Yes,75.27,-,-,-,2.16,427.89,-,0.00,0.00,0.00,0.00,0.15,-,-,159.90%,-,-,-,-,-57.80%,-,42.33%,0.00%,63.60%,-4.44%,2.50%,2.80%,-,-,-,-,0.00%,3.92M,2.19M,0.15% / 1.33,0.00M,-,10.40 - 12.00,-5.92%,8.56%,51.61,0.00,2.40K,0.40%,0.18%,2.82%,6.01%,12.00%,6.31%,0.04,0.05,0.16% 0.28%,11.29,11.29
ACCD,20230817,RUT,993.28M,-155.20M,370.80M,6.50,4.26,-,-,2370,Yes,Yes,-,-,-,2.68,2.03,3.09,-,3.10,3.10,0.60,0.60,-2.16,13.00%,-0.54,-234.30%,-0.90%,-37.70%,36.40%,5.50%,18.70%,Jun 29 AMC,0.90%,-5.60%,82.70%,1.56%,-50.20%,-92.70%,-60.80%,44.60%,-,-,-,75.63M,73.55M,4.52% / 5.49,3.33M,16.23,6.83 - 17.00,-22.55%,92.83%,40.54,0.63,606.10K,-7.19%,-8.98%,21.94%,5.44%,4.77%,69.06%,1.74,0.63,3.60% 4.13%,13.32,13.17
ACDC,20230817,RUT,1.80B,113.50M,2.93B,2.20,0.41,-,-,3664,Yes,Yes,4.47,3.92,-,0.61,4.82,25.72,30.47,0.80,1.10,10.41,9.25,2.38,105.77%,0.27,-,-4.00%,-,-,146.90%,-,Aug 10 BMO,2.00%,102.23%,30.70%,1.67%,3.60%,-11.00%,-148.90%,40.40%,13.30%,3.10%,0.00%,54.50M,23.82M,17.18% / 6.00,4.09M,17.25,9.01 - 27.00,-60.70%,17.76%,33.30,0.68,682.12K,-11.58%,-17.37%,-2.84%,-49.23%,-44.68%,-57.90%,1.01,0.63,4.58% 4.62%,10.46,10.61
ACEL,20230817,RUT,901.10M,67.50M,1.07B,2.10,3.06,-,-,1300,Yes,Yes,14.20,12.75,3.27,0.85,5.04,3.46,14.87,3.10,3.20,2.95,2.82,0.74,-5.70%,0.23,143.60%,4.34%,141.40%,-,48.90%,-37.90%,Aug 03 AMC,5.70%,-14.54%,67.80%,-2.78%,8.70%,41.40%,10.60%,30.30%,9.10%,7.00%,0.00%,86.89M,52.02M,1.53% / 2.67,0.80M,14.00,7.26 - 12.05,-12.20%,45.73%,39.25,0.70,298.41K,-6.70%,-7.11%,13.40%,10.09%,1.44%,37.40%,1.28,0.27,2.06% 2.16%,10.80,10.58
ACET,20230817,RUT,86.50M,-115.20M,0.00M,5.57,4.68,-,-,132,Yes,Yes,-,-,-,-,0.35,0.42,-,11.10,11.10,0.00,0.00,-2.70,4.40%,-0.74,15.20%,29.10%,27.40%,-,-,-34.10%,Aug 09 AMC,0.70%,-,96.07%,9.68%,-36.30%,-41.30%,-24.80%,-,-,-,-,42.96M,41.58M,5.53% / 2.57,2.30M,20.33,1.98 - 21.87,-90.99%,-0.51%,30.82,0.36,895.59K,-16.17%,-38.82%,-70.46%,-75.80%,-85.94%,-77.96%,1.97,0.23,7.68% 8.63%,2.06,1.97
ACHL,20230817,-,37.98M,-71.30M,-,4.66,3.84,-,-,234,No,Yes,-,-,-,-,0.20,0.24,-,10.30,10.30,0.00,0.00,-1.81,7.90%,-0.42,14.70%,5.20%,-,-,-,1.30%,Aug 04 BMO,5.96%,0.00%,73.60%,0.48%,-31.20%,-34.90%,-,-,-,-,-,39.73M,38.51M,0.15% / 0.60,0.06M,8.80,0.75 - 3.45,-73.35%,22.60%,34.86,2.18,98.02K,-8.04%,-16.41%,-6.17%,-17.90%,-72.63%,2.17%,0.92,0.05,6.57% 4.81%,0.94,0.92
ACHR,20230817,RUT,1.50B,-371.20M,-,1.68,1.80,-,-,390,Yes,Yes,-,-,-,-,3.57,3.33,-,7.30,7.30,0.02,0.00,-1.53,17.60%,-0.30,10.20%,-,-,-,-,-87.30%,Aug 10 AMC,1.30%,-75.51%,39.80%,-5.46%,-61.60%,-71.40%,-,-,-,-,-,243.59M,127.70M,12.57% / 2.31,16.05M,9.25,1.62 - 7.10,-15.63%,269.75%,57.18,1.63,6.95M,2.74%,27.72%,104.44%,106.55%,28.82%,220.32%,2.46,0.60,15.69% 10.35%,5.94,5.99
ACI,20230817,-,12.59B,1.20B,78.39B,3.49,0.42,0.48,2.21%,290000,Yes,Yes,9.91,7.73,1.24,0.16,6.23,51.56,-,0.20,0.80,4.20,3.91,2.19,2.14%,0.56,-16.10%,8.00%,29.60%,5.30%,3.20%,-7.30%,Jul 25 BMO,0.50%,-1.11%,68.40%,3.26%,-,-,17.90%,27.90%,-,-,21.08%,573.70M,471.12M,3.38% / 4.54,15.93M,25.65,18.28 - 22.65,-3.99%,19.00%,50.39,0.62,3.51M,-0.18%,-1.14%,7.73%,3.42%,0.96%,4.87%,0.56,0.25,1.07% 1.24%,21.80,21.75
ACIU,20230817,-,248.37M,-76.00M,4.50M,1.89,1.28,-,-,126,Yes,Yes,-,-,-,55.19,1.59,2.34,-,8.90,8.90,0.02,0.01,-0.91,12.70%,0.03,13.00%,-,-12.80%,-27.90%,-,14.00%,Aug 04 BMO,53.88%,0.00%,18.40%,1.18%,-37.20%,-40.90%,-41.20%,-,-,-,-,84.17M,38.57M,1.38% / 0.53,0.53M,10.33,1.68 - 3.83,-21.67%,78.57%,53.47,0.09,1.00M,-0.66%,-0.33%,43.54%,29.87%,-13.54%,47.06%,0.67,0.15,3.53% 4.67%,3.05,3.00
ACLS,20230817,RUT,5.46B,206.60M,1.02B,22.70,13.25,-,-,1388,Yes,Yes,25.75,19.91,1.29,5.34,7.04,12.07,22.66,2.60,3.80,0.06,0.06,6.21,14.02%,1.73,89.60%,20.00%,9.10%,17.50%,23.90%,40.90%,Aug 02 AMC,2.30%,-18.77%,89.30%,1.88%,20.00%,30.30%,26.70%,42.70%,21.90%,20.20%,0.00%,32.77M,32.46M,4.10% / 2.43,1.33M,213.75,49.78 - 201.00,-20.48%,221.07%,36.84,0.89,546.59K,-8.19%,-13.69%,16.08%,24.04%,122.95%,101.40%,1.77,7.79,3.83% 4.17%,165.52,159.83
ACLX,20230817,RUT,1.69B,-190.00M,17.90M,6.49,11.01,-,-,98,Yes,Yes,-,-,-,94.46,5.38,3.17,15.03,3.40,3.40,0.17,0.05,-4.29,-29.70%,-0.28,-177.80%,-,-,-,-,19.80%,-,7.39%,-36.60%,96.00%,17.08%,-46.10%,-71.10%,-,-,-,-,-,46.77M,44.45M,17.55% / 13.89,7.80M,49.60,15.63 - 48.92,-28.65%,123.29%,53.11,0.77,561.74K,2.71%,3.62%,-15.37%,16.10%,73.63%,12.65%,-0.64,1.53,4.45% 4.17%,35.58,34.90
ACM,20230817,-,11.83B,195.60M,13.96B,17.69,9.16,0.72,0.84%,50000,Yes,Yes,62.59,19.66,4.78,0.85,4.87,9.41,20.52,1.10,1.10,0.90,0.87,1.38,18.75%,0.98,38.50%,13.10%,5.00%,-6.30%,13.00%,-220.30%,Aug 07 AMC,0.10%,-41.82%,87.90%,-0.86%,1.20%,5.40%,10.90%,6.50%,3.10%,1.00%,68.00%,138.74M,138.29M,1.18% / 1.86,1.63M,99.80,66.47 - 92.16,-6.54%,29.57%,46.29,0.61,874.81K,-1.43%,-2.90%,7.85%,-4.81%,11.87%,1.41%,1.29,1.80,2.05% 1.94%,87.48,86.13
ACMR,20230817,RUT,807.78M,52.20M,420.90M,11.58,4.47,-,-,1209,Yes,Yes,16.36,10.85,0.38,1.92,1.13,2.93,-,1.20,2.20,0.11,0.03,0.80,10.85%,0.30,4.00%,42.74%,145.60%,60.50%,76.10%,211.70%,Aug 04 BMO,1.80%,-12.52%,68.70%,-2.85%,3.30%,5.90%,5.60%,48.40%,14.00%,9.30%,0.00%,59.74M,42.89M,4.56% / 2.94,1.96M,20.02,5.46 - 18.69,-29.96%,139.74%,50.97,0.65,665.97K,-5.76%,-0.91%,31.43%,-7.69%,-30.41%,69.78%,1.15,0.67,3.57% 4.74%,12.98,13.09
ACN,20230817,S&P 500,203.94B,7.16B,63.55B,40.11,12.80,4.48,1.47%,721000,Yes,Yes,27.23,24.53,3.15,3.21,7.62,23.88,21.74,1.40,1.40,0.00,0.00,11.22,7.42%,2.64,17.00%,8.64%,14.50%,11.20%,2.50%,12.90%,Jun 22 BMO,0.10%,-5.76%,75.40%,1.15%,14.90%,30.40%,31.90%,32.30%,14.40%,11.30%,28.30%,664.31M,663.32M,1.09% / 3.00,7.23M,337.95,242.80 - 327.93,-6.80%,25.88%,40.70,0.69,2.41M,-1.54%,-4.13%,7.38%,6.25%,-4.72%,14.54%,1.22,5.30,1.55% 1.65%,307.64,305.64
ACON,20230817,-,3.81M,-7.40M,0.08M,0.14,0.05,-,-,7,No,Yes,-,-,-,49.58,3.39,9.53,-,0.90,0.90,0.00,0.00,-0.95,23.70%,-0.09,-61.00%,-,-,-,182.20%,4.70%,-,2.40%,0.00%,2.90%,180.38%,-205.40%,-283.00%,-,-,-,-,-,7.94M,5.55M,0.56% / 0.03,0.03M,3.00,0.38 - 2.37,-80.00%,24.76%,26.76,0.01,1.25M,-13.80%,-27.02%,-34.38%,-36.73%,-46.86%,-18.26%,1.33,0.06,13.57% 10.12%,0.48,0.47
ACOR,20230817,-,19.43M,-20.90M,116.90M,54.64,22.00,-,-,111,No,Yes,-,-,-,0.17,0.31,0.77,-,1.60,2.10,2.59,2.59,-17.09,-,-,65.80%,46.00%,34.30%,-27.40%,-4.50%,86.40%,Aug 08 AMC,0.10%,-,25.80%,-56.98%,-5.50%,-26.60%,-14.90%,81.30%,6.30%,-17.90%,-,1.24M,1.18M,1.38% / 0.80,0.02M,-,5.22 - 24.80,-31.85%,223.63%,58.25,0.62,20.44K,5.56%,3.36%,4.32%,-8.15%,78.61%,10.21%,1.36,1.20,6.10% 7.31%,16.59,16.90
ACRE,20230817,RUT,531.66M,-5.10M,199.60M,12.72,2.64,1.32,13.41%,2550,Yes,Yes,-,9.37,-,2.66,0.77,3.73,10.40,-,-,2.42,2.42,-0.09,122.46%,0.22,-59.70%,2.29%,-11.70%,12.10%,34.50%,-120.60%,Aug 02 BMO,0.80%,0.00%,47.40%,1.02%,-0.20%,-0.70%,1.20%,47.40%,-2.40%,-2.50%,250.06%,54.35M,50.88M,3.32% / 2.75,1.69M,10.67,7.51 - 13.83,-28.85%,31.10%,34.46,0.72,614.65K,-5.75%,-10.55%,11.78%,-18.21%,-28.65%,-3.98%,1.43,0.25,2.01% 2.30%,9.86,9.84
ACRS,20230817,RUT,514.23M,-105.30M,31.20M,2.54,1.67,-,-,105,Yes,Yes,-,-,-,16.48,2.82,4.29,-,5.80,5.80,0.00,0.00,-1.55,-1.70%,-0.48,16.80%,-,11.80%,77.60%,26.70%,-34.50%,Aug 07 BMO,0.20%,-37.22%,96.50%,0.40%,-42.70%,-54.40%,-45.50%,57.70%,-,-,-,70.63M,64.90M,8.02% / 8.72,5.21M,29.12,5.77 - 18.96,-62.23%,24.09%,17.54,0.99,597.19K,-14.15%,-31.35%,-13.84%,-45.30%,-57.58%,-54.54%,0.68,0.44,5.55% 4.72%,7.72,7.16
ACRV,20230817,RUT,226.54M,-31.20M,-,7.32,5.86,-,-,45,No,Yes,-,-,-,-,1.51,1.88,-,21.80,21.80,0.00,0.00,-1.11,-36.90%,-0.72,-178.70%,-,-,-,-,-14.10%,Aug 11 BMO,17.60%,-0.22%,71.09%,-,-23.30%,-50.10%,-,-,-,-,-,21.92M,16.77M,2.00% / 13.66,0.34M,22.50,8.06 - 25.47,-56.65%,36.97%,36.40,0.46,24.59K,-4.83%,-16.17%,-18.22%,-50.93%,-,-4.17%,-,0.82,8.04% 6.38%,11.26,11.04
ACRX,20230817,-,9.36M,47.00M,1.80M,1.31,1.20,-,-,19,Yes,Yes,0.13,-,-,5.20,0.64,0.70,-,-,1.80,0.23,0.00,6.42,11.50%,-0.50,197.60%,-,22.60%,-26.00%,-,100.90%,Aug 10 AMC,0.30%,0.00%,12.40%,4.30%,95.00%,175.60%,-132.80%,47.40%,-,-,0.00%,10.89M,5.04M,20.36% / 7.17,1.03M,-,0.55 - 7.17,-88.29%,52.71%,37.23,0.59,143.17K,-6.47%,-20.01%,14.98%,-47.18%,-86.88%,-62.84%,0.28,0.08,10.67% 7.22%,0.81,0.84
ACT,20230817,RUT,4.53B,678.80M,1.11B,27.13,4.35,0.64,2.24%,496,Yes,Yes,6.85,7.86,34.24,4.08,1.05,6.55,8.29,-,-,0.17,0.17,4.16,-2.32%,0.87,28.50%,0.20%,-,-,1.50%,-17.40%,Aug 01 AMC,81.60%,-1.61%,20.40%,-0.21%,11.70%,16.10%,15.60%,-,82.70%,61.10%,13.90%,161.32M,29.24M,3.39% / 3.40,0.99M,29.71,20.72 - 29.74,-4.14%,37.57%,57.78,0.59,291.76K,-0.83%,5.95%,18.50%,16.46%,8.64%,18.20%,0.59,0.63,1.77% 2.20%,28.48,28.51
ACU,20230817,-,103.84M,3.90M,193.00M,22.63,0.84,0.56,1.80%,619,No,Yes,28.60,12.39,2.86,0.54,1.37,37.09,-,1.70,4.10,0.64,0.63,1.09,2.87%,0.70,-76.40%,10.00%,-10.50%,8.20%,5.80%,29.60%,Jul 21 BMO,11.10%,-7.01%,62.70%,-0.57%,1.80%,3.80%,4.00%,34.40%,3.20%,1.60%,63.80%,3.54M,3.09M,0.26% / 0.68,0.01M,36.50,21.11 - 37.99,-18.16%,47.28%,52.91,1.35,11.86K,-12.18%,24.41%,22.02%,29.49%,11.83%,41.96%,0.86,1.96,8.99% 6.40%,32.43,31.09
ACV,20230817,-,198.39M,-,-,-,-,2.16,11.29%,-,No,Yes,-,-,-,-,-,-,-,-,-,-,-,-3.67,-,-,-,3.20%,-3.05%,-,-,-,-,0.04%,0.00%,21.63%,-,-,-,-,-,-,-,-,10.37M,10.36M,0.14% / 0.43,0.01M,-,16.63 - 23.34,-18.00%,15.09%,33.04,0.92,33.37K,-4.01%,-5.53%,2.36%,-12.16%,-14.38%,6.97%,1.47,0.28,1.22% 1.35%,19.45,19.14
