Pid,Date,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend %,Employees,Optionable,Shortable,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Earnings,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,Payout,Shs Outstand,Shs Float,Short Float / Ratio,Short Interest,Target Price,52W Range,52W High,52W Low,RSI (14),Rel Volume,Avg Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Perf YTD,Beta,ATR,Volatility,Prev Close,Price
UTRS,20230817,-,39.36M,-34.50M,51.90M,0.35,0.14,-,-,174,No,Yes,-,-,-,0.76,0.63,1.56,-,2.20,3.20,1.16,1.01,-0.92,22.70%,-0.05,-59.00%,-,-,26.80%,14.70%,69.40%,Aug 02 AMC,1.40%,0.00%,74.70%,-0.47%,-41.10%,-131.70%,-54.70%,55.60%,-59.50%,-65.70%,-,96.57M,54.61M,0.27% / 0.03,0.15M,1.00,0.15 - 2.15,-89.77%,46.71%,35.84,0.03,4.31M,-6.47%,-15.91%,0.27%,-53.05%,-88.78%,-1.57%,1.32,0.02,7.58% 6.32%,0.23,0.22
UTSI,20230817,-,34.95M,-5.00M,14.10M,6.34,6.04,-,-,241,No,Yes,-,-,-,2.48,0.61,0.64,4.99,2.80,2.80,0.00,0.00,-0.55,-,-,14.60%,22.00%,15.70%,-32.20%,-37.70%,71.60%,-,66.70%,0.00%,3.10%,-7.90%,-4.80%,-7.60%,-11.20%,19.00%,-30.90%,-35.60%,-,9.06M,3.02M,0.15% / 1.08,0.00M,-,3.12 - 5.03,-22.99%,24.04%,52.46,0.21,4.10K,-3.25%,2.93%,1.57%,-17.31%,-0.77%,9.01%,0.74,0.25,2.57% 6.36%,3.79,3.87
UTZ,20230817,RUT,2.11B,8.10M,1.42B,8.55,0.41,0.23,1.53%,3550,Yes,Yes,149.20,23.57,14.99,1.49,1.75,36.50,-,1.10,1.70,1.39,1.34,0.10,16.36%,0.16,-101.90%,9.95%,-23.38%,-,3.10%,49.60%,Aug 10 BMO,0.60%,-77.89%,83.20%,-1.98%,0.00%,-0.10%,1.80%,31.70%,0.40%,0.00%,-,80.98M,64.60M,9.02% / 11.75,5.83M,19.83,13.85 - 19.15,-22.09%,7.73%,30.78,1.01,496.17K,-8.69%,-13.21%,-16.13%,-5.51%,-14.55%,-5.93%,0.82,0.43,2.42% 2.57%,15.39,14.92
UUU,20230817,-,6.64M,0.70M,22.20M,2.32,0.09,-,-,11,No,Yes,9.49,-,-,0.30,1.27,33.19,4.43,1.40,2.80,0.28,0.00,0.31,-,-,-,-,18.30%,8.30%,37.20%,220.70%,-,15.58%,0.00%,24.00%,-,7.10%,14.60%,13.90%,28.60%,4.50%,3.20%,0.00%,2.31M,1.95M,4.11% / 0.70,0.08M,-,1.50 - 4.17,-29.19%,96.67%,58.36,0.26,113.77K,9.26%,6.50%,43.20%,34.57%,-16.67%,45.32%,1.44,0.17,5.18% 5.91%,2.76,2.95
UXIN,20230817,-,76.48M,42.00M,307.80M,-3.57,0.30,-,-,814,Yes,Yes,0.09,-,-,0.25,-,5.31,-,0.30,0.60,-,-,17.55,35.70%,-0.10,81.20%,-,50.90%,-3.50%,-7.10%,-100.80%,Aug 14 BMO,9.41%,0.00%,36.40%,-7.91%,29.30%,-23.10%,141.70%,0.80%,-18.50%,13.70%,0.00%,47.18M,38.19M,4.42% / 6.85,1.69M,11.25,0.80 - 8.18,-80.32%,101.25%,48.90,0.41,246.32K,1.90%,-4.45%,-8.00%,-48.06%,-73.08%,-44.10%,0.73,0.11,8.74% 6.51%,1.61,1.61
VACC,20230817,-,80.76M,-15.40M,30.20M,6.14,4.74,-,-,107,No,Yes,-,-,-,2.67,0.33,0.42,-,16.70,16.70,0.00,0.00,-0.42,5.30%,-0.58,110.20%,-,-,-,-96.70%,-806.40%,-,0.30%,7.79%,27.30%,52.54%,2.00%,2.20%,0.20%,-,-13.10%,17.70%,0.00%,38.01M,37.02M,0.03% / 0.47,0.01M,12.33,2.00 - 7.45,-73.15%,0.13%,34.56,0.47,19.96K,-8.68%,-9.09%,-15.97%,-33.33%,-55.65%,-14.89%,0.16,0.11,4.99% 5.26%,2.07,2.00
VAL,20230817,RUT,5.31B,261.80M,1.71B,17.85,11.48,-,-,5450,Yes,Yes,21.44,9.66,-,3.10,4.15,6.45,-,2.40,2.40,0.40,0.40,3.46,534.52%,0.32,103.90%,-,20.80%,-2.80%,35.10%,218.80%,Aug 02 BMO,0.30%,-95.58%,87.90%,12.09%,6.20%,14.20%,-0.50%,-,2.00%,10.30%,0.00%,75.20M,69.51M,4.60% / 3.45,3.20M,98.67,46.54 - 80.00,-7.40%,59.17%,55.38,1.68,928.19K,1.55%,2.42%,27.66%,-6.03%,55.79%,9.55%,1.30,2.38,2.70% 3.01%,73.58,74.08
VALN,20230817,-,945.73M,-,-,-,-,-,-,719,No,Yes,-,-,-,-,-,-,-,-,-,-,-,-2.45,40.00%,-0.24,74.30%,-,-,-,53.40%,-,-,-,-,0.58%,-,-,-,-,-,-,-,-,69.11M,69.11M,0.01% / 0.63,0.01M,18.88,9.07 - 21.02,-37.51%,44.82%,38.00,0.19,11.36K,-13.81%,-15.96%,-0.49%,1.98%,-36.94%,3.26%,2.69,0.60,3.59% 3.04%,13.00,13.14
VALU,20230817,RUT,470.63M,18.10M,39.70M,8.87,6.74,1.12,2.19%,138,No,Yes,26.75,-,-,11.85,5.76,7.58,26.00,2.80,2.80,0.00,0.00,1.91,-,-,-23.50%,-,4.70%,2.00%,-4.00%,6.90%,-,91.50%,0.00%,7.00%,-6.79%,14.00%,22.20%,6.90%,86.90%,28.90%,45.50%,52.40%,9.44M,0.79M,1.40% / 2.89,0.01M,-,42.02 - 118.40,-56.84%,21.61%,48.05,0.46,3.84K,-8.91%,10.85%,4.50%,0.31%,-40.05%,0.43%,0.58,3.65,2.85% 8.56%,52.10,51.10
VANI,20230817,-,54.46M,-16.30M,-,0.76,0.77,-,-,50,Yes,Yes,-,-,-,-,1.45,1.43,-,6.90,6.90,0.00,0.00,-0.38,-10.60%,-0.11,55.50%,-,50.80%,-,-,-16.80%,Aug 14 AMC,7.90%,133.63%,9.00%,-,-,-,-,-,-,-,-,50.76M,26.50M,0.79% / 5.57,0.21M,4.00,0.75 - 5.83,-81.14%,45.97%,36.23,1.07,37.81K,-7.56%,-9.84%,-12.70%,-9.84%,-80.90%,29.46%,2.61,0.07,7.62% 4.95%,1.13,1.10
VAPO,20230817,-,16.80M,-108.40M,62.90M,-0.68,0.44,-,-,261,Yes,Yes,-,-,-,0.27,-,0.93,-,2.10,3.70,-,-,-3.82,41.70%,-0.27,-83.80%,10.60%,-17.90%,13.40%,23.10%,-,Aug 08 AMC,8.20%,9.80%,55.70%,-1.92%,-,-,-147.60%,26.30%,-,-,-,50.63M,40.24M,2.61% / 3.93,1.05M,-,0.34 - 2.96,-86.13%,20.59%,50.39,0.72,267.66K,12.58%,2.76%,-31.54%,-62.39%,-76.02%,-84.81%,-1.25,0.05,12.07% 10.76%,0.42,0.41
VAXX,20230817,RUT,258.41M,-75.40M,-,0.49,0.44,-,-,87,No,Yes,-,-,-,-,4.11,4.62,-,2.50,2.50,-,-,-0.60,0.00%,-0.14,45.40%,-,-,-,-,-,-,47.00%,0.00%,23.40%,0.47%,-,-,-,-,-,-,-,126.75M,55.15M,6.46% / 15.87,3.56M,12.50,1.24 - 4.47,-54.70%,63.31%,32.38,0.64,224.56K,-15.62%,-31.12%,-0.25%,-19.00%,-13.83%,44.64%,2.96,0.20,8.89% 8.06%,2.21,2.03
VBLT,20230817,-,16.96M,-24.50M,0.50M,0.26,0.34,-,-,7,Yes,Yes,-,-,-,33.91,0.85,0.65,-,3.50,3.50,0.00,0.00,-0.32,-,-,7.60%,-,-2.40%,-45.60%,-,74.80%,May 15 AMC,13.48%,0.00%,17.60%,-13.29%,-70.70%,-96.10%,-146.00%,90.60%,-,-,-,77.80M,60.99M,0.85% / 0.38,0.52M,-,0.10 - 0.32,-30.75%,119.62%,36.37,0.15,1.38M,-11.36%,-21.97%,17.62%,50.75%,-4.61%,84.67%,0.84,0.03,10.30% 10.12%,0.23,0.22
